Test_Date,County_Code,Zip_Code,Positive_Cases,Total_Tests
4/1/20,29,14084,0,1
4/1/20,69,14472,0,1
4/1/20,805,7621,1,2
4/1/20,805,23322,0,1
4/1/20,67,13164,0,1
4/1/20,805,7652,0,2
4/1/20,119,10705,31,54
4/1/20,29,14212,2,8
4/1/20,87,10980,18,41
4/1/20,119,10510,5,10
4/1/20,53,13421,0,7
4/1/20,81,11373,60,97
4/1/20,117,13146,0,1
4/1/20,85,10304,19,37
4/1/20,55,14619,5,16
4/1/20,103,11787,26,52
4/1/20,55,14616,2,19
4/1/20,81,11001,9,12
4/1/20,103,11769,7,13
4/1/20,83,12182,0,7
4/1/20,71,10922,2,5
4/1/20,63,14094,8,27
4/1/20,67,13027,0,11
4/1/20,121,14569,0,2
4/1/20,61,10030,6,10
4/1/20,59,11568,2,3
4/1/20,117,14568,2,5
4/1/20,101,14437,0,2
4/1/20,61,10012,1,10
4/1/20,67,13063,1,2
4/1/20,105,12748,0,2
4/1/20,63,14131,1,5
4/1/20,71,12575,1,4
4/1/20,61,10061,0,1
4/1/20,99,14541,0,1
4/1/20,79,12563,1,5
4/1/20,43,13502,0,1
4/1/20,93,12303,2,3
4/1/20,89,13668,0,2
4/1/20,119,10702,1,1
4/1/20,93,12306,1,4
4/1/20,805,7731,0,1
4/1/20,67,13084,0,2
4/1/20,17,13733,0,1
4/1/20,9,14719,1,1
4/1/20,805,85281,0,1
4/1/20,1,12222,0,2
4/1/20,101,14826,0,1
4/1/20,805,8755,0,2
4/1/20,805,18052,0,1
4/1/20,1,12009,0,2
4/1/20,75,13083,0,1
4/1/20,27,12574,0,1
4/1/20,805,7071,0,1
4/1/20,11,13166,0,1
4/1/20,805,18328,1,1
4/1/20,81,11375,46,79
4/1/20,71,10941,15,36
4/1/20,47,,134,211
4/1/20,117,14433,0,1
4/1/20,61,10065,11,28
4/1/20,29,14086,8,27
4/1/20,119,10704,23,46
4/1/20,47,11221,23,37
4/1/20,119,10813,1,1
4/1/20,81,11413,45,59
4/1/20,81,11354,18,25
4/1/20,97,14841,0,1
4/1/20,59,11801,24,46
4/1/20,51,14435,0,1
4/1/20,81,11103,6,20
